ID,X,Y,Z
1,-0.988617,-15.406466,4.384944
2,-1.599751,-15.223548,4.372919
4,-2.863540,-14.823506,3.738706
5,-3.113574,-14.062642,5.021973
9,-4.380495,-13.119018,3.721907
12,-5.155485,-12.417730,3.322446
15,-6.547783,-10.739964,3.735401
18,-6.707232,-9.627891,2.904832
22,-8.691463,-8.582308,3.166119
24,-9.953104,-7.360464,2.643177
27,-9.369960,-4.597622,2.583884
28,-8.909078,-4.371050,1.761809
32,-7.285599,-2.803974,1.597714
33,-7.026994,-2.712311,0.935107
34,-7.120926,-2.478110,2.262773
46,-3.801461,0.414472,0.628366
47,-3.991968,0.049839,0.041385
48,-3.623577,0.740249,1.351010
54,-1.756282,2.297724,0.210799
55,-1.661724,2.513985,0.767210
56,-1.457908,2.448889,-0.371329
57,1.434473,3.007806,-1.823724
58,1.763097,2.946077,-0.894684
59,2.269608,2.360689,-1.134828
66,4.156588,0.528807,-0.344689
68,4.864968,-0.100404,0.042082
71,5.826346,-1.139943,0.078269
72,6.099010,-1.624126,-0.433301
74,6.649117,-1.928067,0.472175
76,7.071843,-2.423002,0.378234
83,7.871262,-3.171837,0.755542
87,9.108002,-4.499604,0.792514
91,9.713406,-6.612740,1.327119
92,9.467571,-7.078514,0.429070
94,8.859632,-7.461015,0.817285
95,8.740716,-7.476312,1.233332
96,9.052030,-7.119025,1.451573
97,8.636093,-7.383846,1.937016
103,4.370708,-9.438696,3.840061
104,3.990067,-9.937076,3.437299
105,4.747331,-9.466670,2.076096
106,4.221795,-9.880013,2.552206
107,4.059613,-10.187852,1.928353
108,3.152869,-10.869035,2.866009
113,0.919822,-14.404375,4.520965
114,0.524754,-15.224330,3.332805
125,1.716506,-9.301232,0.632403
126,3.940166,-9.861805,0.689617
129,1.734050,-7.925478,0.225443
130,0.256873,-6.849634,-0.022411
131,-1.371504,-5.638026,-0.284951
134,-3.386867,-3.528773,-0.820306
135,-2.979308,-1.606770,-1.422187
136,-1.562549,-4.043465,-0.765212
137,0.134244,-4.956189,-0.586932
138,2.401192,-5.921096,-0.428955
139,-0.966276,-2.690594,-1.196624
140,-1.202878,-0.926230,-1.713189
143,3.001086,-4.364596,-0.914654
144,2.913546,-2.758431,-1.391150
