ID,X,Y,Z
1,-1.110896,-15.416259,4.157426
2,-1.767288,-15.228751,4.141983
4,-2.973155,-14.811654,3.529186
5,-3.234491,-14.049747,4.808166
9,-4.515953,-13.110259,3.558842
12,-5.271305,-12.390430,3.160738
15,-6.646025,-10.693203,3.592334
18,-6.787665,-9.580764,2.793882
22,-8.763400,-8.511119,3.090933
24,-10.036737,-7.304792,2.576837
27,-9.396825,-4.565239,2.578531
28,-8.983054,-4.334577,1.759279
32,-7.343539,-2.775139,1.601276
33,-7.089872,-2.674942,0.938685
34,-7.173422,-2.450237,2.271101
46,-3.818129,0.439960,0.665483
47,-4.036217,0.104744,0.070368
48,-3.646434,0.771252,1.394744
54,-1.784935,2.343511,0.293945
55,-1.655147,2.563746,0.840105
56,-1.468713,2.504335,-0.304395
57,1.375918,3.057397,-1.715192
58,1.767697,2.999575,-0.822913
59,2.238909,2.369415,-1.057942
66,4.115193,0.522858,-0.329528
68,4.818579,-0.139943,0.041466
71,5.757999,-1.168081,0.036568
72,6.036729,-1.637623,-0.484990
74,6.592802,-1.973416,0.428714
76,7.015888,-2.455400,0.313945
83,7.810196,-3.229901,0.676141
87,9.027834,-4.563496,0.700050
91,9.620436,-6.659797,1.205547
92,9.389268,-7.113585,0.310749
94,8.774472,-7.496918,0.672254
95,8.649366,-7.528071,1.113388
96,8.936327,-7.160707,1.329332
97,8.535960,-7.433092,1.810704
103,4.263327,-9.500542,3.663254
104,3.878278,-9.999527,3.248119
105,4.647352,-9.476429,1.935740
106,4.107358,-9.904932,2.384646
107,3.969951,-10.212916,1.755390
108,3.050347,-10.895248,2.700973
113,0.775375,-14.445213,4.313352
114,0.375524,-15.244604,3.115976
125,1.624095,-9.283010,0.533223
126,3.813608,-9.870056,0.546278
129,1.631861,-7.895714,0.169265
130,0.159699,-6.824303,-0.082208
131,-1.466768,-5.586646,-0.349587
134,-3.456419,-3.461318,-0.820312
135,-3.062006,-1.518361,-1.384847
136,-1.638024,-4.018567,-0.786190
137,0.042232,-4.897283,-0.644345
138,2.329183,-5.876615,-0.491781
139,-1.061964,-2.615533,-1.205493
140,-1.248173,-0.866421,-1.678075
143,2.955892,-4.334595,-0.966919
144,2.842338,-2.699169,-1.417703
