ID,X,Y,Z
1,-1.057161,-15.383353,4.530478
2,-1.679105,-15.193038,4.507440
4,-2.918943,-14.767399,3.880023
5,-3.183790,-13.994121,5.156070
9,-4.459337,-13.069214,3.845008
12,-5.227711,-12.390132,3.442241
15,-6.597005,-10.671005,3.849778
18,-6.777577,-9.589746,2.999812
22,-8.725561,-8.517893,3.267332
24,-9.989264,-7.312895,2.733886
27,-9.391785,-4.557767,2.622584
28,-8.960423,-4.349847,1.811746
32,-7.319547,-2.789298,1.608796
33,-7.063531,-2.705899,0.911500
34,-7.148185,-2.447022,2.259512
46,-3.802261,0.405944,0.581486
47,-4.005550,0.051205,-0.020734
48,-3.629449,0.755374,1.279753
54,-1.781430,2.279482,0.109578
55,-1.642888,2.498652,0.665974
56,-1.467065,2.440048,-0.483062
57,1.446311,2.940160,-1.966183
58,1.781410,2.908649,-1.005148
59,2.263843,2.277726,-1.230892
66,4.154427,0.477837,-0.429209
68,4.858188,-0.169557,-0.047868
71,5.803638,-1.205903,0.008024
72,6.058722,-1.709016,-0.496897
74,6.633771,-1.994322,0.420667
76,7.056814,-2.480865,0.310494
83,7.858837,-3.249126,0.676395
87,9.063435,-4.585701,0.744460
91,9.674632,-6.697535,1.309057
92,9.422147,-7.157785,0.421708
94,8.825978,-7.538165,0.813048
95,8.686527,-7.553378,1.242820
96,8.986755,-7.175282,1.433718
97,8.584444,-7.444145,1.938178
103,4.331283,-9.463790,3.865325
104,3.938070,-9.964538,3.470146
105,4.682779,-9.480816,2.126892
106,4.161007,-9.908699,2.598485
107,4.016878,-10.215476,1.976623
108,3.108916,-10.873338,2.916489
113,0.857958,-14.379077,4.642126
114,0.462628,-15.190070,3.455801
125,1.637345,-9.328616,0.686565
126,3.870224,-9.912655,0.739875
129,1.670508,-7.974461,0.258171
130,0.208280,-6.888076,0.008648
131,-1.426454,-5.665221,-0.286449
134,-3.409571,-3.565010,-0.818117
135,-3.035313,-1.655761,-1.444783
136,-1.584108,-4.089498,-0.763331
137,0.093195,-4.991186,-0.587754
138,2.357317,-5.954691,-0.424709
139,-1.007016,-2.720402,-1.227836
140,-1.209123,-0.987559,-1.752870
143,2.991996,-4.432891,-0.932160
144,2.861885,-2.808200,-1.430530
