ID,X,Y,Z
1,15.448024,-0.918771,4.196016
2,15.263975,-1.498071,4.182084
3,15.811223,-1.770859,2.887073
4,14.834491,-2.791655,3.591862
5,14.081260,-3.049337,4.883224
6,14.163226,-3.228373,4.111570
7,14.393071,-3.487206,2.720100
8,13.353579,-3.880255,4.408995
9,13.141862,-4.340874,3.612202
10,13.126674,-4.624300,2.809275
11,12.282300,-4.725501,4.821238
12,12.441767,-5.111271,3.227851
13,11.797220,-5.540071,3.713296
14,11.220156,-5.888862,4.244848
15,10.749094,-6.509078,3.671516
16,11.236686,-6.347603,2.842793
17,11.829021,-6.017652,2.198684
18,9.645468,-6.678707,2.867267
19,9.490126,-7.172237,1.794034
20,9.343528,-7.052781,3.610593
21,8.925175,-7.899720,4.546417
22,8.602360,-8.644088,3.170233
23,8.123566,-8.907631,3.704876
24,7.388752,-9.918813,2.680084
25,5.198899,-9.409668,3.556567
26,5.314651,-9.700964,2.347854
27,4.588995,-9.323880,2.631652
28,4.359426,-8.907847,1.816806
29,3.791378,-8.576657,2.905699
30,3.696382,-8.233543,1.795961
31,3.199399,-7.865059,2.413043
32,2.796993,-7.278358,1.631818
33,2.701246,-7.031891,0.955072
34,2.474663,-7.104070,2.303042
35,2.077310,-6.588404,1.795450
36,1.818905,-6.473353,2.488090
37,2.044148,-6.348015,0.866355
38,1.611614,-5.966849,1.133377
39,1.329916,-5.883448,2.051134
40,1.013692,-5.363301,1.141774
41,0.935555,-5.153221,0.528360
42,0.535102,-5.063107,1.983526
43,0.354391,-4.720163,1.235904
44,0.243990,-4.449735,0.536855
45,-0.150453,-4.218460,1.303497
46,-0.430629,-3.795445,0.657815
47,-0.091455,-4.010736,0.060189
48,-0.767575,-3.613434,1.378018
49,-1.107689,-3.155272,0.840758
50,-0.926161,-3.106573,-0.216757
51,-1.459367,-2.601065,-0.037293
52,-1.570661,-2.666195,0.754283
53,-1.921461,-2.179084,0.152179
54,-2.326898,-1.786938,0.237687
55,-2.560850,-1.665470,0.774351
56,-2.493010,-1.483748,-0.354613
57,-3.060266,1.435451,-1.857558
58,-3.007298,1.796636,-0.923091
59,-2.390486,2.275068,-1.168495
60,-2.112014,2.777540,-0.423951
61,-1.765218,3.275358,0.127772
62,-1.515224,3.285347,-0.522173
63,-1.146761,3.418037,-1.134170
64,-1.177964,3.738694,-0.085893
65,-0.696714,4.341213,0.412943
66,-0.578502,4.177933,-0.413206
67,-0.132247,4.445204,-0.824599
68,0.070675,4.885078,-0.047743
69,0.570837,5.000414,-1.105084
70,1.184208,5.556619,-1.104316
71,1.107677,5.837431,-0.033992
72,1.595375,6.108212,-0.558415
73,2.113307,6.410361,-1.101895
74,1.893978,6.687723,0.360384
75,2.311560,6.854116,-0.300649
76,2.378288,7.095711,0.245391
77,2.702492,7.151752,-0.488831
78,2.925060,7.496370,-0.061937
79,3.187830,7.522885,-0.707873
80,3.548921,7.992041,-0.295079
81,2.484705,7.396701,0.876941
82,2.684391,7.713660,1.280426
83,3.143121,7.908031,0.590142
84,3.638856,8.239484,0.202142
85,4.361329,8.510231,-0.964020
86,4.454044,8.940415,0.061157
87,4.466414,9.130148,0.606085
88,5.014832,9.331454,-0.307362
89,5.392994,9.912534,0.421639
90,5.305307,10.004726,0.933145
91,6.633553,9.745705,1.114818
92,7.059043,9.494338,0.225453
93,7.456660,9.018961,-0.034357
94,7.440289,8.892496,0.608114
95,7.471201,8.768049,1.040311
96,7.118948,9.080657,1.238691
97,7.409276,8.679790,1.729569
98,8.163391,8.188397,1.130925
99,7.513358,8.007693,2.945138
100,8.695417,7.187902,2.598616
101,9.057842,7.118513,1.246582
102,7.726658,7.301445,0.430241
103,9.483139,4.453661,3.641415
104,9.964906,4.059494,3.250204
105,9.456017,4.815214,1.903589
106,9.894319,4.279150,2.371964
107,10.190850,4.125511,1.741549
108,10.882909,3.228899,2.675946
109,10.672666,3.823189,1.059666
110,12.257023,2.812487,4.745403
111,13.776002,1.266447,4.774355
112,14.048654,1.875383,2.671929
113,14.421762,1.010855,4.323124
114,15.215547,0.594920,3.136788
115,13.745529,-0.526473,2.433216
116,11.154339,-3.460183,1.388054
117,13.121613,0.348315,1.700624
118,11.246794,0.446628,1.148190
119,10.467731,-1.217283,1.040157
120,9.391055,-2.680139,0.830387
121,8.782244,-4.082930,0.748183
122,6.768254,-4.116045,0.174643
123,7.622800,-2.406948,0.302907
124,8.811804,-0.227644,0.499993
125,9.257418,1.722448,0.493497
126,9.826747,3.927411,0.513876
127,9.956190,5.545012,0.446697
128,8.554482,4.819944,0.089402
129,7.902770,1.735930,0.104393
130,6.830127,0.270408,-0.105174
131,5.606514,-1.363561,-0.346754
132,5.022453,-3.509850,-0.370540
133,3.746224,-5.530939,-0.594014
134,3.511579,-3.374068,-0.811673
135,1.581993,-3.015116,-1.398980
136,4.033808,-1.543179,-0.786924
137,4.908728,0.135142,-0.651918
138,5.866066,2.398064,-0.529334
139,2.646225,-1.002193,-1.220335
140,0.904755,-1.205995,-1.707008
141,0.957088,0.667271,-1.819578
142,2.788319,1.374069,-1.346415
143,4.332951,3.019042,-1.011984
144,2.704534,2.885361,-1.472260
145,4.452654,5.013981,-1.113418
146,5.761823,7.192455,-0.878011
147,4.839991,-5.191126,0.004847
